Name,Type,Phone Number,Website,Types,GPS Coordinates,Address
Novalis,Retreat Center,+51 949 997 127,https://www.wearenovalis.com/contact,Retreat Center,"-16.4138461, -71.5147928","Jirón Victoria 281, Arequipa 04002, Peru"
Hotel Pisac Inca,Retreat Center,+51 942 664 132,https://www.pisacinca.com/,Retreat Center,"-13.4210686, -71.8529882","Huayna Picchu, Písac 08106, Peru"
Sacred Heart Parish,Catholic church,(520) 287-9221,https://www.sacredheartnogales.com/,"Catholic church,Tourist attraction","31.3376602, -110.940905","272 N Rodriguez St, Nogales, AZ 85621"
Sacred Heart Catholic School,Middle school,(520) 287-2223,https://sacredheartnogales.com/sacred-heart-school,"Middle school,Catholic school,Elementary school,Kindergarten,Preschool,Private educational institution,School","31.337923399999998, -110.9404993","207 W Oak St, Nogales, AZ 85621"
The Garden Of Peace,Retreat center,+44 7451 207424,https://www.thegardenofpeace.com/,Retreat center,"-6.4778291999999995, -76.37283769999999","Tarapoto 22202, Peru"
Tambo Ilusión Vegetarian Lodging / Hospedaje Vegetariano,Lodge,+51 942 754 466,http://www.tamboilusion.com/,"Lodge,Homestay","-6.499768899999999, -76.3284266","Jiron Los Aguajales 604, Tarapoto 22200, Peru"
Peru-Ayahuasca,Lodging,,,Lodging,"-6.4924919999999995, -76.34633149999999","San Miguel 563, Tarapoto 22202, Peru"
Katari Center,Health,+51 42 532443,http://www.kataricenter.com/,Health,"-6.495749099999999, -76.3638854","Jr. Jose Olaya 761, Tarapoto 22201, Peru"
Yacumaman Sanctuary Ecolodge,Hotel,,,Hotel,"-6.4819901, -76.35645149999999","Jirón Ramirez Hurtado 301, Tarapoto 22200, Peru"
Mantra Holistics,Health and beauty shop,+51 991 591 519,http://facebook.com/mantreando/,Health and beauty shop,"-6.486123, -76.3585442","Jirón Ramirez Hurtado 384, Tarapoto 22202, Peru"
Ikara Retreat Centre,Retreat Center,+506 8983 7678,http://www.ikararetreat.com/,Retreat Center,"8.2588996, -84.93997039999999",
Yogaion Retreats,Yoga retreat center,+34 664 20 14 63,http://www.yogaion.com/,Yoga retreat center,"37.266317, -8.809059","CX Postal 450-V Alfambras, 8670-116 Aljezur, Portugal"
Essencia Nature Retreat,Retreat center,+41 76 206 20 77,http://www.essencia.life/,Retreat center,"37.244036099999995, -8.7859634","66V7+GM Aljezur, 8670-130 Aljezur, Portugal"
Prana Casa,Yoga retreat center,+351 910 002 361,http://www.pranacasa.com/,"Yoga retreat center,Service establishment","37.316230999999995, -8.83171",
Quinta Alma,Hostel,+351 916 787 601,https://quintaalma.com/,Hostel,"37.295612, -8.773227","Sitio do Trancao, Sítio do Trancão, 8670-052 Aljezur, Portugal"
Ritmo da Terra,Retreat center,+351 920 577 486,http://ritmodaterra.pt/,"Retreat center,Event venue,Hotel,Bed & breakfast","37.307798, -8.770757999999999","CX 455M, Quinta da Nora, 8670-052 Aljezur, Portugal"
Temple of the Earth,Retreat center,+32 473 87 94 10,http://www.templeoftheearth.org/,"Retreat center,Service establishment","35.9915752, -18.826979599999998",
Surf & Yoga Retreats Portugal | Yoga Retreats & Surf Camps,Retreat center,+351 935 408 046,https://surfnyogaportugal.com/,"Retreat center,Guest house,Yoga retreat center,Yoga studio","37.310660999999996, -8.8609834","Vale da Telha, sector, H26, 8670-156 Aljezur, Portugal"
Coração Shala,Yoga studio,,http://www.coracaoshala.com/,Yoga studio,"37.3168465, -8.794146999999999","Rua 29 de Agosto, 8670-076 Aljezur, Portugal"
Dawn Collective Shala,Sports massage therapist,,http://www.dawncollectiveshala.eu/,"Sports massage therapist,Yoga studio","37.2974738, -8.8560695","Bloco M. Loja A+B Sector B, Urbanização Vale da Telha, 8670-156 Aljezur, Portugal"
RECEIVE Retreat,Retreat center,+351 926 100 433,https://www.receive-tribe.com/the-retreat,Retreat center,"37.1203046, -8.6678649","8600-121 Lagos, Portugal"
Cata Yin & Yoga,Yoga retreat center,,https://catayoga.com/,"Yoga retreat center,Service establishment","37.2454205, -8.195424899999999",
WildNatureSoul Yoga Retreat & Massage Studio,Retreat center,+49 176 58815726,https://www.wildnaturesoul.de/,"Retreat center,Massage spa,Serviced accommodation,Thai massage therapist,Yoga studio","37.0763221, -8.8112063","Quinta da Paz, 8650-223, Portugal"
Centro de Retiros Karuna,Meditation center,+351 969 301 486,http://www.karunaretreatcenter.org/,Meditation center,"37.3005236, -8.5211955","Centro Retiros Karuna, Apartado 1, 8550-000, Portugal"
Fonte de Paz e Felicidade - holiday home,Cabin rental agency,,,Cabin rental agency,"37.2883133, -8.8184384","Vales-Craveira, 8670-088 Aljezur, Portugal"
Chatô Cherie,Retreat center,+351 927 588 099,http://www.chatocherie.com/,"Retreat center,Hotel,Seminary","37.329209999999996, -8.7636713","37,3291970, -8,7636603, 8670-052 Aljezur, Portugal"
Nagomi Spa & Health,Wellness center,+31 20 678 8180,https://www.okura.nl/wellness/health/,"Wellness center,Physical fitness program,Sauna,Swimming pool","52.348718, 4.894031","Ferdinand Bolstraat 333, 1072 LH Amsterdam, Netherlands"
Nagomi Japanese Restaurant,Japanese restaurant,+31 6 51847388,,"Japanese restaurant,Restaurant","52.313077799999995, 4.8759247","Kostverlorenhof 67, 1183 HG Amstelveen, Netherlands"
Nagomi Spa Treatments,Massage spa,+31 20 678 8300,https://www.okura.nl/wellness/spa-treatment/,Massage spa,"52.348799299999996, 4.8939642999999995","Ferdinand Bolstraat 333, 1072 LH Amsterdam, Netherlands"
Inwardbound Institute (Psilocybin Retreats),Retreat center,+31 20 217 0291,https://inwardbound.nl/,Retreat center,"52.5733514, 4.6515327","Noorderstraat 2, 1901 MT Castricum, Netherlands"
The Unbound Amsterdam,Hotel,+31 6 13412237,https://www.unbound-amsterdam.com/,"Hotel,Bar,Event venue,Wellness hotel","52.381719399999994, 4.7789209","Tom Schreursweg 40, 1067 MC Amsterdam, Netherlands"
New Eleusis - Psychedelisches Psilocybin Retreat,Retreat center,+49 174 2111966,http://www.new-eleusis.com/,"Retreat center,Mental health service,Vitamin & supplements store","52.3666451, 4.8890647","Herengracht 449A, 1017 BR Amsterdam, Netherlands"
Aloee Wellness,Wellness center,(888) 303-7098,http://aloeewellness.com/,Wellness center,"20.6247451, -87.0828198","C. 3 Sur con-Av. 40, Centro, 77710 Playa del Carmen, Q.R., Mexico"
Kawsay Ayahuasca Retreat,Retreat Center,+51 921 301 119,https://kawsayretreat.com/,Retreat Center,"-3.6370090999999998, -73.0763764","CW5F+C5, Indiana 16200, Peru"
Casa de la Madre Ayahuasca,Retreat Center,+51 929 790 337,,Retreat Center,"-8.337004, -74.5644332","Brisas, MZ C Lote 25 Los, Pucallpa, Peru"
Psychonauta Foundation,Retreat Center,+51 917 390 589,https://psychonauta.com/,Retreat Center,"-4.4820889, -73.5751478","Buen Retiro, Nauta 16300, Peru"
Retreat Guru,Retreat Center,,https://retreat.guru/,Retreat Center,"49.492174899999995, -117.29730289999999","303 Vernon St, Nelson, BC V1L 4E3, Canada"
Awaken Your Soul Costa Rica Retreat,Wellness program,(800) 940-3638,http://www.awakenyoursoul.co/,"Wellness program,Service establishment","8.2588996, -84.93997039999999",
AwakenYourSoul Iboga retreat,Religious destination,,http://www.awakenyoursoul.co/,Religious destination,"10.028938, -84.554172","2CHW+H8G, Alajuela Province, San Ramon, Costa Rica"
Friends of the Vine Retreats,Retreat Center,+351 933 460 710,https://friendsofthevineretreats.com/,Retreat Center,"35.9915752, -18.826979599999998",
Faro,Retreat Center,,,Retreat Center,"37.0164626, -7.9351983",Portugal
Tulum Bazaar,Shopping mall,,,Shopping mall,"20.211653, -87.4615269","Tulum Centro, 77760 Tulum, Q.R., Mexico"
Tulum,Historical landmark,+52 983 837 2411,https://www.inah.gob.mx/zonas/99-zona-arqueologica-de-tulum,"Historical landmark,Tourist attraction","20.2149504, -87.4294212","Zona Hotelera Tulum, 77765 Tulum, Q.R., Mexico"
Mixik,Boutique,+52 984 871 2136,,Boutique,"20.2105499, -87.46541309999999","Av. Tulum MZA 6 LTE 22, entre Jupiter y Alfa Norte, Tulum Centro, Centro, 77760 Tulum, Q.R., Mexico"
Tulum,,,,,"20.2114185, -87.46535019999999","Quintana Roo, Mexico"
Tulum Sound Healing to Oneness,Wellness center,+52 984 240 5679,,Wellness center,"20.2032159, -87.45717549999999","Calle Kabah con Labnah, Aldea Zama, 77760 Tulum, Q.R., Mexico"
Tulum Tours,Tour operator,+52 987 112 9491,https://www.tulum-tours.com/,"Tour operator,Travel agency","20.2157996, -87.45543819999999","Guerra de Castas, Calle 2 Poniente entre Calle Escorpion Norte, Tulum, 77780 San Miguel de Cozumel, Q.R., Mexico"
Zamna Tulum,Hotel,+52 984 745 2631,http://www.zamnatulum.com/,Hotel,"20.1872787, -87.5277246","km 200, México 307, 77760 Tulum, Q.R., Mexico"
Tulum Bike Tours,Tour operator,+52 984 140 7870,http://www.tulumbiketours.com/,"Tour operator,Outdoor activity organiser,Tourist attraction","20.2119484, -87.4596716","Kan Tours Main Office, Tulum Pueblo, Av. Tulum s/n, entre Centauro & Orion, 77760 Mexico, Q.R., Mexico"
"Vikaralifestyle: Best Ayahuasca, Surf & Yoga Retreats center",Retreat Center,+593 98 527 6690,http://www.vikaralifestyle.com/,Retreat Center,"-1.7963691, -80.7594795","C. Rosa Mistica, Olon 241753, Ecuador"
San Luis Potosi,Retreat Center,,http://www.slp.gob.mx/,Retreat Center,"22.156565099999998, -100.9854628",Mexico
School of Prana,Yoga studio,,http://www.riootoya.com/prana,Yoga studio,"38.7060003, -9.1549251","Number 78, R. da Cintura do Porto de Lisboa, 1200-109 Lisboa, Portugal"
Yoga Espaço Prana,Yoga studio,+351 918 055 157,https://www.yogaespacoprana.pt/,Yoga studio,"38.739331899999996, -9.1520554","Av. de Berna 35 4 esq, 1050-039 Lisboa, Portugal"
"Prana, Salão de Beleza",Beautician,+351 930 596 729,,"Beautician,Laser hair removal service,Nail salon","38.751279499999995, -9.1981047","R. Dr. Pereira Bernardes 5, 1500-248 Lisboa, Portugal"
La Hacienda Cancun,Wellness center,+52 998 147 5723,http://haciendacancun.mx/,"Wellness center,Day spa","21.110467999999997, -86.9649444","Carretera. Cancún-Mérida Km 302, C. Jacaranda 18, El Ramonal, 77500 Cancún, Q.R., Mexico"
KRAKTI Empowerment,Health consultant,,http://www.krakti.eu/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15594499785478062440,"Health consultant,Service establishment","52.190951, 5.2795551",
Stichting Kraktie,Foundation,,,Foundation,"52.3591635, 4.8770202","Pieter Cornelisz Hooftstraat 147, 1071 BT Amsterdam, Netherlands"
Plaza police (Royal Military Police),Police department,+31 800 1814,http://www.marechaussee.nl/,Police department,"52.3097117, 4.7629597","Vertrekpassage 127-135, 1118 AS Schiphol, Netherlands"
MindTravellers,Retreat Center,+31 6 48463277,https://mindtravellers.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11498063858204731524,Retreat Center,"51.941997099999995, 5.2168548999999995","Nijverheidsweg 7, 4104 AN Culemborg, Netherlands"
Wanay Community | Retreat Center,Retreat Center,+41 78 894 27 81,https://wanaycommunity.com/,Retreat Center,"1.1258337999999999, -76.6862994","Zona Rural, Mocoa, Putumayo, Colombia"
Ananda Villa Zanzibar,Retreat Center,+255 777 231 202,,Retreat Center,"-6.246461699999999, 39.533918899999996","QG3M+CH7, Bwejuu, Tanzania"
Anarerere - Mexico Retreat Awakening,Meditation center,+52 984 320 4604,https://anarerere.com/,Meditation center,"20.8516366, -86.8983975","Aldea ha smza 28 mz29 lote 1-4 upe 35 cj 14 Aldea ha, 77580 Puerto Morelos, Q.R., Mexico"
Casa Om,Yoga retreat center,(703) 409-9446,http://www.casaom.com/,Yoga retreat center,"20.8564531, -86.87251529999999","Avenida Javier Rojo Gomez 804 Mza 26 Lte 9 SM 2 Region 2, 77580 Puerto Morelos, Q.R., Mexico"
One Breath of Yoga,Yoga retreat center,+52 998 577 1940,https://onebreathofyoga.com/,"Yoga retreat center,Yoga studio","20.8644, -86.9087289","C. 2 Nte., Zona Urbana, 77580 Puerto Morelos, Q.R., Mexico"
Lunita Jungle Retreat,Retreat center,+52 984 269 3333,https://www.lunitajungleretreat.com/,"Retreat center,Meditation center,Yoga retreat center","20.871367799999998, -87.0648707","Ruta de los cenotes km 17, 77584 Puerto Morelos, Q.R., Mexico"
Healing Retreat,Wellness program,+52 55 2343 8711,https://healinginmexico.com/,"Wellness program,Meditation center,Wellness center","20.9690385, -87.1199798","Ruta de los Cenotes, 77710 Q.R., Mexico"
Aloee Wellness,Wellness center,(888) 303-7098,http://aloeewellness.com/,Wellness center,"20.6247451, -87.0828198","C. 3 Sur con-Av. 40, Centro, 77710 Playa del Carmen, Q.R., Mexico"
Retreats Puerto Morelos,Retreat center,,https://www.ayamadreverde.com/,Retreat center,"20.888941499999998, -87.0913228","Ruta de los cenotes Km 20 Carretera, Quintana Roo Puerto Morelos - Leona Vicario Leona Vicario, 77580 Puerto Morelos, Q.R., Mexico"
Eleusinia Retreat,Retreat Center,(281) 206-4227,http://www.eleusiniaretreat.com/,Retreat Center,"49.013799999999996, -121.9883",
Sadhana Lodge,Lodge,+39 339 256 2698,,Lodge,"20.217261099999998, -87.4521046","Fraccionamiento Villas, 77776 Tulum, Q.R., Mexico"
Xanga Guru,Wellness center,+52 984 144 5217,https://xanga.guru/,Wellness center,"20.693289699999998, -87.0594327","C/O Pueblo Sacbe, Av. Paseos del Mayab 4590, La Guadalupana, 77724 Playa del Carmen, Q.R., Mexico"
Playa del Carmen,,,,,"20.6295586, -87.0738851","Quintana Roo, Mexico"
Temazcal y Masajes Pixan,Massage spa,+52 984 217 2816,,Massage spa,"20.6482568, -87.0584468","Calle 92 Nte S/N, Luis Donaldo Colosio, 77728 Playa del Carmen, Q.R., Mexico"
Life Synergy,Nutritionist,(718) 577-2646,https://www.facebook.com/lsrwellness/,Nutritionist,"20.6225336, -87.0751232","Calle 38 Norte, Entre 1ra y, Quinta Avenida Col, Zazil-ha, 77720 Playa del Carmen, Q.R., Mexico"
Solidaridad,,,http://www.solidaridad.gob.mx/principal/,,"20.5501224, -87.42075179999999","Quintana Roo, Mexico"
Hana Shanti,Massage spa,,https://www.instagram.com/hanashanti?igsh=MWJrN3lnY2V1bmRmbQ==,Massage spa,"20.637591699999998, -87.0698627","Calle 38 esquina avenida 25 Tohoku, Exterior, 77710 Playa del Carmen, Q.R., Mexico"
Yanahuara,,,,,"-16.3988325, -71.55375599999999",Peru
Temple of the Way of Light,Retreat center,,https://templeofthewayoflight.org/,"Retreat center,Lodge","-3.743721, -73.363958","Sgto. Lores 841, Iquitos 16000, Peru"
Awkipuma Healing Center - Ayahuasca Retreat in Peru,Retreat center,+51 979 521 819,https://awkipuma.com/,Retreat center,"-3.7306874, -73.2499564","Iquitos 16008, Peru"
Flower of Life,Wellness center,(786) 393-0799,https://floweroflifeperu.com/,"Wellness center,Health resort,Retreat center,Wellness hotel,Wellness program","-3.7453957, -73.2469428","Oficina, Callao N°174, Iquitos, Peru"
Takinuna Ayahuasca Retreats Perú,Retreat center,+51 935 184 155,https://www.thetakinuna.com/,Retreat center,"-3.7726154, -73.2652624","Av. Participación 1081, Iquitos 16006, Peru"
Caya Shobo Ayahuasca Retreat Healing Center,Lodge,+51 917 327 657,http://www.cayashobo.com/,"Lodge,Alternative medicine practitioner,Health spa","-3.8834773, -73.3668759","Varillal, 14km, Carr. Iquitos-Nauta, Iquitos 16000, Peru"
